site,AU-Fog
year,2008
lat,-12.5452
lon,131.307
timezone,200801010030,9.5
htower,200801010030,5
timeres,halfhourly
sc_negl,0
notes,processed on 20160517111414 with qc_auto v1.0 compiled using Ms VC++ 9.0 on Mar 17 2016 at 16:58:38
notes,var G_1 was renamed in G
notes,201605171114 qc visual comparison SY
notes,201605171114 qc visual comparison variable: PPFD_IN missing
notes,201605171113 qc visual SY
notes,201605171113 qc visual MY (carlo)
notes,201605171110 apply change log file for variable X: TIMESTAMP_END variable Y: Ta (carlo)
notes,201605171110 apply change log file for variable X: TIMESTAMP_END variable Y: RH (carlo)
notes,201605171110 apply change log file for variable X: TIMESTAMP_END variable Y: WS (carlo)
notes,201605171110 apply change log file for variable X: TIMESTAMP_END variable Y: NetRad (carlo)
notes,201605171110 apply change log file for variable X: TIMESTAMP_END variable Y: LW_IN (carlo)
notes,201605171110 apply change log file for variable X: TIMESTAMP_END variable Y: LE (carlo)
notes,201605171109 apply change log file for variable X: TIMESTAMP_END variable Y: H (carlo)
notes,201605171109 apply change log file for variable X: TIMESTAMP_END variable Y: ustar (carlo)
notes,201605171109 apply change log file for variable X: TIMESTAMP_END variable Y: SW_IN (carlo)
notes,201605171109 apply change log file for variable X: TIMESTAMP_END variable Y: CO2 (carlo)
notes,201605171109 apply change log file for variable X: TIMESTAMP_END variable Y: Fc (carlo)
notes,201605171109 G_1 Values sing OK
notes,201605171109 G not found
notes,201605171109 SSITC_TEST checker FC_SSITC_TEST is empty
notes,201605171109 SSITC_TEST checker LE_SSITC_TEST is empty
notes,201605171109 SSITC_TEST checker variable: LE_SSITC_TEST is not found
notes,201605171109 SSITC_TEST checker H_SSITC_TEST is empty
notes,201605171109 SSITC_TEST checker variable: H_SSITC_TEST is not found
notes,201605171109 SSITC_TEST checker variable: FC_SSITC_TEST is not found
notes,201605171108 "variable: RH
notes,201605171108 "variable: RH
notes,201605171108 "variable: RH
notes,201605171108 Rename variable WEEK with Week
notes,201605091313 Rename variable ustar with USTAR
notes,201605091313 Rename variable Ts_1 with TS_1
notes,201605091313 Rename variable Ta with TA
notes,201605091313 Rename variable SWout with SW_OUT
notes,201605091313 Rename variable SWin with SW_IN
notes,201605091313 Rename variable Pa with PA
notes,201605091313 Rename variable NetRad with NETRAD
notes,201605091313 Rename variable LWout with LW_OUT
notes,201605091313 Rename variable LWin with LW_IN
notes,201605091313 Rename variable G1 with G_1
notes,201605091313 Rename variable Fc with FC
notes,dataset retrieved on 20160509115841
TIMESTAMP_START,TIMESTAMP_END,NEE,TA,USTAR,SW_IN
200801062130,200801062200,0.0141667,27.5,0.15,0
200801062200,200801062230,0.498889,27.25,0.12,0
200801062230,200801062300,-9999,27.4,-9999,0
200801062300,200801062330,4.68898,27.68,-9999,0
200801062330,200801070000,0.137778,27.37,0.09,0
200801070000,200801070030,-9999,26.81,0.3,0
200801070030,200801070100,-9999,26.28,0.24,0
200801070100,200801070130,-1.17889,26.63,0.16,0
200801070130,200801070200,2.77907,26.33,0.08,0
200801070200,200801070230,-9999,26.13,0.28,0
200801070230,200801070300,-9999,26.04,0.35,0
200801070300,200801070330,-9999,26.12,0.08,0
200801070330,200801070400,-9999,25.96,0.13,0
200801070400,200801070430,0.784167,26.01,0.17,0
200801070430,200801070500,2.27741,26.16,0.18,0
200801070500,200801070530,-9999,26.33,0.31,0
200801070530,200801070600,1.59454,26.88,0.41,0
200801070600,200801070630,-0.0524074,27.28,0.29,0
200801070630,200801070700,0.304259,27.5,0.33,32
200801070700,200801070730,-2.13472,27.72,0.24,101
200801070730,200801070800,-3.96111,28.04,0.18,190
200801070800,200801070830,-9999,28.15,0.35,197
200801070830,200801070900,-9999,27.93,-9999,268
200801070900,200801070930,-9999,27.39,-9999,321
200801070930,200801071000,-9999,27.33,-9999,457
200801071000,200801071030,-9999,27.86,0.26,779
200801071030,200801071100,-5.83639,28.98,0.31,864
200801071100,200801071130,-1.86528,29.57,0.23,965
200801071130,200801071200,-6.48935,29.74,0.11,888
200801071200,200801071230,-10.412,30.25,0.27,1063
200801071230,200801071300,-9999,29.95,0.44,878
200801071300,200801071330,-8.32685,30.59,0.29,889
200801071330,200801071400,-7.17796,30.98,0.23,913
200801071400,200801071430,-8.17787,31.19,0.25,912
200801071430,200801071500,-7.27157,31.6,0.2,719
200801071500,200801071530,-9999,31.78,0.22,572
200801071530,200801071600,-11.592,32.03,0.38,497
200801071600,200801071630,-3.69889,31.83,0.32,404
200801071630,200801071700,-5.75509,31.18,0.19,310
200801071700,200801071730,-3.89204,30.9,0.21,253
200801071730,200801071800,0.206296,30.92,0.14,145
200801071800,200801071830,0.0674074,30.73,0.11,101
200801071830,200801071900,-9999,30.33,0.24,38
200801071900,200801071930,3.6475,29.63,0.21,2
200801071930,200801072000,1.67944,28.89,0.14,0
200801072000,200801072030,1.32898,28.46,0.11,0
200801072030,200801072100,2.97306,27.97,0.13,0
200801072100,200801072130,4.39407,27.73,0.14,0
200801072130,200801072200,2.20944,27.57,0.08,0
200801072200,200801072230,2.62435,27.53,0.19,0
200801072230,200801072300,2.42481,27.43,0.15,0
200801072300,200801072330,2.58046,27.27,0.12,0
200801072330,200801080000,2.83833,27.05,0.09,0
200801080000,200801080030,1.54204,26.93,0.11,0
200801080030,200801080100,4.24306,26.86,0.02,0
200801080100,200801080130,-9999,26.54,0.07,0
200801080130,200801080200,2.91509,26.3,0.05,0
200801080200,200801080230,3.06565,26.19,0.09,0
200801080230,200801080300,5.08287,25.98,0.11,0
200801080300,200801080330,2.37861,25.96,0.09,0
200801080330,200801080400,3.76769,25.83,0.08,0
200801080400,200801080430,-9999,25.75,0.11,0
200801080430,200801080500,3.15954,25.77,0.11,0
200801080500,200801080530,2.40278,25.7,0.13,0
200801080530,200801080600,2.29639,25.82,0.12,0
200801080600,200801080630,-9999,25.95,0.12,0
200801080630,200801080700,-1.10481,26.09,0.21,38
200801080700,200801080730,-0.224907,26.44,0.09,122
200801080730,200801080800,-9999,27.39,0.12,239
200801080800,200801080830,-9999,28.51,0.12,339
200801080830,200801080900,-9999,29.24,-9999,491
200801080900,200801080930,-9999,29.75,-9999,523
200801080930,200801081000,-9999,30.09,-9999,568
200801081000,200801081030,-9999,30.36,-9999,661
200801081030,200801081100,-9999,30.93,-9999,763
200801081100,200801081130,-9999,31.34,-9999,837
